Subject,abstract
1,  The determinants of transnational entrepreneurship and transnational ties’ dynamics among immigrant entrepreneurs in ICT sector in Italy?   This article contributes to the rapidly growing literature on transnational immigrant entrepreneurship by analyzing the determinants of transnational entrepreneurial engagement among immigrants in the ICT sector in Italy. We investigate which factors influence the rise or decline of transnational entrepreneurial involvement with a home country. Our results indicate that longer residence in Italy is associated with smaller propensity to become a transnational entrepreneur. Moreover  we find that the type of transnational ties and the network size have a substantial impact on the dynamics of transnational entrepreneurial engagement.
2," Market orientation and strategic decisions on immigrant and ethnic small firms""   Entrepreneurial orientation in small ethnic firms is embedded in a strong sociocultural environment  which influences their market orientation. For this reason  entrepreneurs choose between either focusing their businesses on their ethnic communities or attracting mainstream customers from outside their ethnic enclave. The article aims to contribute to the knowledge of ethnic and immigrant firms by taking a detailed look at their marketing orientation and strategic decisions. To perform this study  the researchers used a multi-method qualitative data collection  including the analysis of different entrepreneur cases  within several Brazilian communities overseas  which illustrate four different marketing orientations of ethnic entrepreneurs: (i) “focus on the ethnic niche market ” (ii) “focus on specific interests ” (iii) “focus on exotic products for the mainstream customer ” and (iv) “focus on highly competitive markets.” Authors draw a 2x2 matrix as an output of the research."
3, Diaspora networks in international business: a review on an emerging stream of research?   Diaspora networks in international business are an influential construct in understanding contemporary international business (IB)  respective networks  and global activities. This chapter analyzes the evolution of the research related to diaspora networks in IB. The purpose of this review is multifaceted. First  it introduces the concepts diaspora and diaspora networks and links them to economy and IB. Second  it identifies the key aspects of diaspora-related research that are significant for IB and/or require additional attention in the IB domain. Furthermore  it provides a state-of-the-art review of the diaspora networks in IB. The review comprises multiple viewpoints on diaspora networks: organization and structure  resources  diaspora entrepreneurship  socio-cultural dimensions and knowledge transfer as well as underlying emotional and behavioral frameworks. The chapter contributes by synthesizing and modifying the extant knowledge base and evaluating it critically. The article concludes with a discussion of the implications for theory modification  IB management  and policy making  and it proposes future research directions.
4,  Typology of diaspora entrepreneurship: Case studies in Uzbekistan   The characteristics and importance of transnational diasporans as entrepreneurs for the economy and international business of emerging countries have remained underexplored. This paper addresses types of diaspora entrepreneurship (DE) theoretically and empirically in the context of Uzbekistan. Diaspora entrepreneurship is often seen as necessity-driven and less opportunity-driven. So far  emerging Central-Asian countries are considered countries of origin (COOs) of diasporans  but not yet as countries wherein diasporans want to invest and work  that is  countries of residence (CORs). Uzbekistan is also a post-Soviet economy with limited tradition on private entrepreneurship. Thus  the paper asks what makes people become entrepreneurs in emerging countries such as Uzbekistan when they have alternative opportunities in developed countries. It explores key drivers and socio-cultural reasons for the entry and establishment decision and introduces a typology of DE. This multiple case study presents implications and findings on culturally different entrepreneurs who have decided to enter Uzbek business elucidating their motivations and role in transition economies.
5,  Diaspora networks in international business and transnational entrepreneurship-A literature review   Many underlying developments of globalization should be investigated. Diaspora networks represent an invisible actor in international business (IB)  and embody a channel and arena for transnational entrepreneurship (TE). Thus  understanding the development of contemporary diaspora networks and exploring their business potential is important. These networks impact multiple aspects of economic activity  such as investment  entrepreneurship  innovation  expansion  internationalization and creation of international businesses. Despite the multifaceted influence of diaspora networks  little empirical research on their effects has been conducted. This gap may originate in the lack of theoretical and conceptual rigor. In short  the term “diaspora network” remains to be fully discovered in international business. This paper contributes to the literature by increasing the understanding of diaspora networks by reviewing the current literature. The purpose is to enrich the conceptual and theoretical development of IB and TE by connecting them to the emerging field of diaspora entrepreneurship. The paper discusses diaspora networks  illustrates extant theories and research findings  and suggests issues for further research.
6,  Migration 'against the tide': location and Jewish diaspora entrepreneurs   Diaspora entrepreneurs contribute to regional development through business  ideas and resources. Most diasporas originate from migration from developing and emerging economies and are captured in dyadic patterns between the country of origin and their residence. Understudied are diaspora entrepreneurs migrating ‘against the tide’ by selecting atypical destination region(s). This qualitative study examines the migratory paths of Jewish diaspora entrepreneurs departing from their communities and planting seeds at new locations for their communities to follow – in other words  leaving their communities behind physically  not mentally. Findings advance a theoretical understanding of diasporic entrepreneurial types  contexts and the dynamic interplay between pioneering entrepreneur(s)  their community and their location.
7,  Human stickiness as a counterforce to brain drain: Purpose driven behavior among Tanzanian medical doctors and implications for policy   We explain why a group of Tanzanian medical doctors decided to stay in their home country despite a massive brain drain and pressure to migrate. We argue that purpose-driven behaviour among medical doctors serves as a counterforce to brain drain  fostering human stickiness in a developing country context. A sense of purpose provides a novel lens to understand voluntary non-migration of highly-skilled professionals under extreme conditions. Furthermore  incoming expatriate doctors build local capacity by sharing skills and expertise with Tanzanian doctors. This affects the medical doctors’ motives to migrate  further reducing brain drain. These individual-level decisions not to migrate find their application in policy. We advocate policies that support purpose-driven behaviour and generate long-term commitment to a location  while advancing short-term mobility for knowledge sharing. The policy initiatives are targeted at actors in the sending and receiving countries as well as in international organisations  covering concerted multi-layered policies to support family and community embeddedness  to facilitate the incoming of expatriate doctors and foreign exchange  and to cultivate benefits of circular migration. We argue that migration behaviour is more individually grounded and socio-emotionally constructed than what dominant economic-based explanations suggest.
8,  Is this transnational entrepreneurship? Five cases in which it is hard to say yes or no   Scholars have lately started using the notion of ‘transnational entrepreneurship’. However  transnational entrepreneurship has not achieved the status of an independent research field in literature yet. Scholars and policymakers do not seem to have managed to address the clear-cut  distinctive nature of transnational entrepreneurship due to its conceptual ambiguity. This challenge calls for thoughtful consideration of the scope and range of the transnational entrepreneurship concept. Consequently  this study aims at critically reviewing the recent literature on transnational entrepreneurship in contrast to migrants’ entrepreneurial activities and international entrepreneurship to identify the current scholars’ underlying assumptions about this phenomenon and challenges them by demonstrating its heterogeneity with the presentation of five empirical cases. In these five cases  entrepreneurs conduct business in which transnationalism plays a certain role  yet differently. We contrast the presented cases with the four assumptions about transnational entrepreneurs identified from literature: (a) frequent travels between home and host countries  (b) simultaneous entrepreneurial engagement in two countries  (c) deep dual embeddedness in home and host institutional environments and (d) highly educated migrants. Based on the discussion  we develop a set of research propositions regarding the characteristics of transnational entrepreneurs  which are not fully considered in literature. By demonstrating the heterogeneity of transnational entrepreneurship and by showing future research orientations  we contribute to the literature on transnational entrepreneurship.
9,  Transnational entrepreneurship: opportunity identifcation and venture creation   The present case study focuses on entrepreneurs who have migrated from one developed economy (Sweden or Finland) to another developed economy (Hong Kong Special Administrative Region (HKSAR)). In contrast to the dominating understanding  we find that the transnational entrepreneurial incentives were opportunity driven rather than necessity based. The opportunity types identified varied  but indicate the importance of service opportunities  a type often left out of studies and classifications. A prevalent characteristic of transnational entrepreneurship is opportunity recognition based on introducing processes or products to the country of residence  familiar from the country of origin or based on use of the entrepreneurs’ contacts in the home country. This study showed  however  that although this was the case for two entrepreneurs  some identified opportunities for acting in the opposite direction  or did both import and export. Notably  there was also a fourth category  offering business-facilitating services  bridging differing cultural contexts in relationship-middlemen positions. For these entrepreneurs  there was thus no obvious “domestic market” from the start as assumed in traditional internationalization theories. Furthermore  although their businesses started on a limited scale between two countries  they quickly grew and entered other country markets. These transnational businesses thus represent forms of born globals not included in the high-tech business models often associated with such firms. Our findings finally lend support to arguments that a business-favorable institutional environment facilitates and encourages entrepreneurship.
10,  Network benefits for Ghaninan diaspora and returnee entrpreneurs    Objective: The objective of this paper is to investigate how diaspora and returnee entrepreneurs use networks in the country of origin (COO) and country of residence (COR) and which benefits they gain from such networks. Research Design & Methods: In the face of the early state of research and the complexity of the subject  exploratory case study research was chosen. One case was conducted with a Ghanaian diaspora entrepreneur in Germany and the other with a Ghanaian returnee entrepreneur back from Germany. Face-to-face semi-structured interviews with both of the entrepreneurs were conducted to identify their network dynamics. Findings: Ghanaian diaspora entrepreneurs benefit mainly from networks in the COR and Ghanaian returnee entrepreneurs from networks in the COO. These findings are not fully consistent with the assumption of previous scholars that diaspora and returnee entrepreneurs intensively use both COO and COR networks. Implications & Recommendations: The network usage of diaspora and returnee entrepreneurs varies to a large extent depending on industry  personal background and human capital. It is necessary to research more intensively the heterogeneity within diaspora entrepreneurship. Contribution & Value Added: This paper contributes to the development of understanding of heterogeneity in diaspora and returnee entrepreneurship. The cases present that the degree and balance of mixed embeddedness of returnee and diaspora entrepreneurs in COO and COR may differ to a large extent and they influence how they benefit from different type of networks in both countries. This difference may arise from the physical absence/presence of entrepreneurs in the country or the structure of their business. We identified several dimensions to be considered in future research.
